Title,Directors,Year
Rambling Rose,Martha Coolidge,1991
Kim Novak Badade Aldrig i Genesarets Sjo,Martin Ansphaug,2005
Sidney Hall,Shawn Christensen,2018
From Dusk Till Dawn,Robert Rodriguez,1996
Black Friday,Arthur Lubin,1940
Hold The Dark,Jeremy Saulnier,2018
Geostorm,Dean Devlin,2017
Kingsman: The Golden Circle,Matthew Vaughn,2017
Moartea domnului Lazarescu,Cristi Puiu,2005
Mamma Mia! The Movie,Phyllida Lloyd,2008
My Little Princess,Eva Ionesco,2011
Izzy Gets the F*ck Across Town,Christian Papierniak,2017
The Hunter,Daniel Nettheim,2011
Downsizing,Alexander Payne,2017
Thank You for Your Service,Jason Hall (I),2017
Night of the Living Dead,George A. Romero (I),1968
Mamma Mia! Here We Go Again,Ol Parker,2018
The Crying Game,Neil Jordan (I),1992
The Bye Bye Man,Stacy Title,2017
Mystery Train,Jim Jarmusch,1989
200 Cartas,,2013
En kort en lang,Hella Joof,2001
Black Swan,Darren Aronofsky,2010
In Country,Norman Jewison,1989
Marrowbone,Sergio G. Sánchez,2017
Jumanji: Welcome to the Jungle,Jake Kasdan,2017
Shadow of a Doubt,Alfred Hitchcock,1943
The Predator,Shane Black,2018
Home Again,Hallie Meyers-Shyer,2017
Pitch Perfect 3,Trish Sie,2017
Red Sparrow,Francis Lawrence (II),2018
The Big Sick,Michael Showalter,2017
Sierra Burgess Is a Loser,Ian Samuels (I),2018
Hearts Beat Loud,Brett Haley,2018
Tortilla Soup,Maria Teresa Ripoll,2001
The Children's Hour,William Wyler,1961
The Crossing Guard,Sean Penn (I),1995
Golden Exits,Alex Ross Perry,2018
Misery,Rob Reiner,1990
Goodbye Christopher Robin,Simon Curtis (I),2017
The Harder They Come,Perry Henzell,1972
Fallen,Scott Hicks,2016
Uncertain Terms,Nathan Silver,2014
Odete,João Pedro Rodrigues,2005
The Nun,Corin Hardy,2018
Paradise,Mary Agnes Donoghue,1991
"Move Over, Darling",Michael Gordon (I),1963
Becks,Daniel Powell,2017
Notorious,Alfred Hitchcock,1946
Greed,Erich von Stroheim,1924
The House,Andrew Jay Cohen,2017
The Hottest State,Ethan Hawke,2006
"Synecdoche, New York",Charlie Kaufman,2008
Lords of Dogtown,Catherine Hardwicke,2005
Güeros,Alonso Ruizpalacios,2014
Support The Girls,Andrew Bujalski,2018
All I See is You,Marc Forster,2017
The Sisterhood of Night,Caryn Waechter,2015
The Glass House,Daniel Sackheim,2001
Sweet Sweetback's Baadasssss Song,Melvin Van Peebles,1971
Professor Marston & The Wonder Women,Angela Robinson,2017
One Week,Michael McGowan (II),2008
What Keeps You Alive,Colin Minihan,2018
Rang-e khoda,Majid Majidi,1999
La Fille Inconnue,Jean-Pierre Dardenne,2016
Craig's Wife,Dorothy Arzner,1936
Novitiate,Margaret Betts,2017
Cypher,Vincenzo Natali,2002
Girls Trip,Malcolm D. Lee,2017
A Quiet Place,John Krasinski,2018
mother!,Darren Aronofsky,2017
Please Stand By,Ben Lewin,2017
Gojira tai Desutoroia,Takao Okawara,1995
The Guernsey Literary and Potato Peel Pie Society,Mike Newell (I),2018
To All The Boys I've Loved Before,Susan Johnson,2018
The Tale,Jennifer Fox,2018
Logan,James Mangold,2017
Extinction,Ben Young (V),2018
Predator,John McTiernan,1987
How It Ends,David M. Rosenthal,2018
Like Father,Lauren Miller,2018
Snapshots,Melanie Mayron,2018
Red Rock West,John Dahl,1993
Tragedy Girls,Tyler MacIntyre,2017
Walker,Alex Cox (I),1987
The Jerk,Carl Reiner,
One Percent More Humid,Liz W. Garcia,2017
The LEGO Ninjago Movie,Bob Logan (II),2017
Norman,Jonathan Segal,2010
Nattvardsgästerna,Ingmar Bergman,1963
Anatomie de l'enfer,Catherine Breillat,2004
Mr. Right,Paco Cabezas,2015
Little Bitches,Nick Kreiss,2018
Electra Glide In Blue,James William Guercio,1973
Destry Rides Again,George Marshall,1939
The Ladykillers,Alexander Mackendrick,1955
The Founder,John Lee Hancock,2017
Only the Brave,Joseph Kosinski,2017
Unforgettable,Denise Di Novi,2017
T2: Trainspotting,Danny Boyle,2017
"Oslo, 31. August",Joachim Trier,2011
The Manchurian Candidate,John Frankenheimer,1962
La Tête Haute,Emmanuelle Bercot,2015
Mama,Andy Muschietti,2013
Batman: The Dark Knight Returns - Part 2,Jay Oliva,2013
