Title,Directors,Year
Ghost,Jerry Zucker,1990
The Beverly Hillbillies,Penelope Spheeris,1993
E.T. - The Extra-Terrestrial,Steven Spielberg,1982
Submarine,Richard Ayoade,2010
"Gabriela, Cravo e Canela",Bruno Barreto,1983
Baisers Volés,François Truffaut,1968
Nymphomaniac: Volume II,Lars Von Trier,2013
Revolver,Guy Ritchie,2005
Nymphomaniac: Volume I,Lars Von Trier,2013
We Need to Talk About Kevin,Lynne Ramsay,2011
Le Magasin des Suicides,Patrice Leconte,2012
Jules et Jim,François Truffaut,1962
Jackie Brown,Quentin Tarantino,1997
Moonrise Kingdom,Wes Anderson (I),2012
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,1983
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,1980
Star Wars,George Lucas,1977
Brokeback Mountain,Ang Lee (I),2005
Brilliantlove,Ashley Horner,2010
Memento,Christopher Nolan,2000
My Big Fat Greek Wedding,Joel Zwick,2002
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,1998
"Alphaville, une Étrange Aventure de Lemmy Caution",Jean-Luc Godard,1965
2046,Kar Wai Wong,2004
The Lake House,Alejandro Agresti,2006
O Homem que Copiava,Jorge Furtado,2003
2012,Roland Emmerich,2009
Jumper,Doug Liman,2008
Léon,Luc Besson,1994
Dead Poets Society,Peter Weir,1989
Seven,David Fincher,1995
The Royal Tenenbaums,Wes Anderson (I),2001
The Kings of Summer,Jordan Vogt-Roberts,2013
Eraserhead,David Lynch (I),1977
Her,Spike Jonze,2013
The Silence of the Lambs,Jonathan Demme,1991
Gone With the Wind,George Cukor,1939
Bill & Ted's Excellent Adventure,Stephen Herek,1989
A Knight's Tale,Brian Helgeland,2001
Bill & Ted's Bogus Journey,Peter Hewitt,1991
Get Over It,Tommy O'Haver,2001
Candy,Neil Armfield,2006
Love in the Time of Cholera,Mike Newell (I),2007
Masculin Féminin,Jean-Luc Godard,1966
Ghost World,Terry Zwigoff,2001
World War Z,Marc Forster,2013
Vivre sa Vie,Jean-Luc Godard,1962
Don Jon,Joseph Gordon-Levitt,2013
RocknRolla,Guy Ritchie,2008
Snatch.,Guy Ritchie,2000
An Adventure in Space and Time,Terry McDonough,2013
Harry Potter and the Goblet of Fire,Mike Newell (I),2005
Vertigo,Alfred Hitchcock,1958
The Girl with the Dragon Tattoo,David Fincher,2011
Män Som Hatar Kvinnor,Niels Arden Oplev,2009
Space Jam,Joe Pytka,1996
Junior,Ivan Reitman,1994
P.S. I Love You,Richard LaGravenese,2007
The Little Rascals,Penelope Spheeris,1994
The Proposal,Anne Fletcher,2009
Antz,Eric Darnell,1998
Honey I Blew Up the Kid,Randal Kleiser,1992
"Honey, We Shrunk Ourselves",Dean Cundey,1997
Littleman,Keenen Ivory Wayans,2006
The Count of Monte Cristo,Kevin Reynolds (I),2002
Staying Alive,Sylvester Stallone,1983
The Wizard of Oz,George Cukor,1939
Hancock,Peter Berg (I),2008
Flyboys,Tony Bill (I) ,2006
Daredevil,Mark Steven Johnson,2003
2001: A Space Odyssey,Stanley Kubrick,1968
Never Been Kissed,Raja Gosnell,1999
The Hot Chick,Tom Brady (I),2002
Big Daddy,Dennis Dugan (I),1999
Diary of a Mad Black Woman,Darren Grant,2005
Psycho,Alfred Hitchcock,1960
Mulholland Dr.,David Lynch (I),2001
O Auto da Compadecida,Guel Arraes,2000
Cruel Intentions,Roger Kumble,1999
How to Lose a Guy in 10 Days,Donald Petrie,2003
The Fifth Element,Luc Besson,1997
À Bout de Souffle,Jean-Luc Godard,1960
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004
Christopher and His Kind,Geoffrey Sax,2011
Terminator 2: Judgement Day,James Cameron,1991
The Blue Lagoon,Randal Kleiser,1980
The School of Rock,Richard Linklater,2003
I Now Pronounce You Chuck & Larry,Dennis Dugan (I),2007
Spanglish,James L. Brooks,2004
Mean Girls,Mark Waters,2004
Eloise at the Plaza,Kevin Lima,2003
The Devil Wears Prada,David Frankel,2006
Hitch,Andy Tennant,2005
Nutty Professor II: The Klumps,Peter Segal,2000
It Takes Two,Andy Tennant,1995
Blast from the Past,Hugh Wilson (I),1999
The Sound of Music,Robert Wise (I),1965
The Parent Trap,Nancy Meyers,1998
Madagascar,Eric Darnell,2005
Ice Age,Carlos Saldanha (I),2002
La Délicatesse,David Foenkinos,2011
Trainspotting,Danny Boyle,1996
You Don't Mess with the Zohan,Dennis Dugan (I),2008
Just Married,Shawn Levy ,2003
Legally Blonde,Robert Luketic,2001
Bridget Jones's Diary,Sharon Maguire,2001
Shrek,Andrew Adamson,2001
Christmas with the Kranks,Joe Roth (I),2004
Shall We Dance,Peter Chelsom,2004
Home on the Range,John Sanford (II),2004
Bewitched,Nora Ephron,2005
Hoodwinked!,Cory Edwards (I),2005
Bee Movie,Simon J. Smith,2007
Aquamarine,Elizabeth Allen Rosenbaum,2006
Ice Princess,Tim Fywell,2005
The AristoCats,Wolfgang Reitherman,1970
Killers,Robert Luketic,2010
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,2005
Garfield,Peter Hewitt,2004
"Yours, Mine and Ours",Raja Gosnell,2005
Crossroads,Tamra Davis,2002
If Only,Gil Junger,2004
Sweet Home Alabama,Andy Tennant,2002
X-Men: The Last Stand,Brett Ratner,2006
I Am Legend,Francis Lawrence (II),2007
Saving Private Ryan,Steven Spielberg,1998
The Spy Next Door,Brian Levant,2010
"Corrina, Corrina",Jessie Nelson,1994
Sister Act,Emile Ardolino,1992
Mrs. Doubtfire,Chris Columbus,1993
Patch Adams,Tom Shadyac,1998
Bicentennial Man,Chris Columbus,1999
Une Femme est Une Femme,Jean-Luc Godard,1961
Breakfast at Tiffany's,Blake Edwards,1961
Requiem for a Dream,Darren Aronofsky,2000
The Eddy Duchin Story,George Sidney (II),1956
A Mulher Invisível,Cláudio Torres (I),2009
Good Burger,Brian Robbins (I),1997
Gold Diggers: The Secret of Bear Mountain,Kevin James Dobson,1995
O Homem Que Desafiou o Diabo,Moacyr Góes,
The Kid,Charles Chaplin,1921
10 Things I Hate About You,Gil Junger,1999
Back to the Future - Part II,Robert Zemeckis,1989
Back to the Future,Robert Zemeckis,1985
Bande à Part,Jean-Luc Godard,1964
Along Came Polly,John Hamburg,2004
Dreamgirls,Bill Condon,2006
Detroit Rock City,Adam Rifkin,1999
Twelve Monkeys,Terry Gilliam,1996
"I, Robot",Alex Proyas,2004
White Chicks,Keenen Ivory Wayans,2004
"Elvira, Mistress of the Dark",James Signorelli,1988
Matilda,Danny DeVito,1996
The Boy in the Striped Pyjamas,Mark Herman,2008
The Butterfly Effect,Eric Bress,2004
Jennifer's Body,Karyn Kusama,2009
Constantine,Francis Lawrence (II),2005
Coming to America,John Landis,1988
Modern Times,Charles Chaplin,1936
Drillbit Taylor,Steven Brill,2008
